Name of Glacier,Lat,Long,Length or (Width),Location
Abbotsmith Glacier,-53.1,73.4,4.8 km,Heard Island
Allison Glacier,-53.067,73.4,,Heard Island
Austin Glacier,-54.067,-37.2,,South Georgia Group
Bary Glacier,-54.433,-36.783,,South Georgia Group
Baudissin Glacier,-53.033,73.433,2.8 km,Heard Island
Bertrab Glacier,-54.617,-35.95,"small",South Georgia Group
Bogen Glacier,-54.8,-35.933,"small",South Georgia Group
Briggs Glacier,-54.017,-37.133,,South Georgia Group
Brøgger Glacier,-54.533,-36.433,13 km,South Georgia Group
Brown Glacier,-53.067,73.65,,Heard Island
Brunonia Glacier,-54.05,-37.483,,South Georgia Group
Buxton Glacier,-54.433,-36.2,,South Georgia Group
Challenger Glacier,-53.033,73.467,,Heard Island
Christensen Glacier,-54.033,-36.867,,South Georgia Group
Christensen Glacier,-54.467,3.4,,Bouvet Island
Christophersen Glacier,-54.417,-36.783,,South Georgia Group
Clayton Glacier,-54.067,-37.433,,South Georgia Group
Compton Glacier,-53.05,73.617,,Heard Island
Cook Glacier,-54.45,-36.183,,South Georgia Group
Crean Glacier,-54.133,-37.017,6 km,South Georgia Group
Deacock Glacier,-53.183,73.517,,Heard Island
Dead End Glacier,-54.783,-35.933,,South Georgia Group
Downes Glacier,-53.033,73.517,,Heard Island
Ealey Glacier,-53.033,73.583,,Heard Island
Eclipse Glacier,-54.383,-36.083,,South Georgia Group
Esmark Glacier,-54.217,-37.217,,South Georgia Group
Fiftyone Glacier,-53.183,73.567,,Heard Island
Fortuna Glacier,-54.1,-36.85,,South Georgia Group
Geikie Glacier,-54.283,-36.683,,South Georgia Group
Gotley Glacier,-53.167,73.45,13.2 km,Heard Island
Graae Glacier,-54.8,-36.017,3.2 km,South Georgia Group
Grace Glacier,-54.067,-37.383,,South Georgia Group
Hamberg Glacier,-54.35,-36.517,,South Georgia Group
Harker Glacier,-54.367,-36.533,,South Georgia Group
Harmer Glacier,-54.767,-36.25,,South Georgia Group
Heaney Glacier,-54.417,-36.2,,South Georgia Group
Helland Glacier,-54.483,-36.617,,South Georgia Group
Henningsen Glacier,-54.45,-36.7,,South Georgia Group
Herz Glacier,-54.683,-35.967,,South Georgia Group
Hindle Glacier,-54.567,-36.083,10 km,South Georgia Group
Hodges Glacier,-54.267,-36.533,,South Georgia Group
Horntvedt Glacier,-54.417,3.35,,Bouvet Island
Jacka Glacier,-53,-73.333,1.3 km,Heard Island
Jenkins Glacier,-54.767,-36.117,,South Georgia Group
Jewell Glacier,-54.267,-37.133,,South Georgia Group
Keilhau Glacier,-54.267,-37.067,8 km,South Georgia Group
Kjerulf Glacier,-54.35,-36.85,,South Georgia Group
König Glacier,-54.017,-36.8,,South Georgia Group
Lancing Glacier,-54.033,-36.933,,South Georgia Group
Lewald Glacier,-54.75,-35.867,,South Georgia Group
Lied Glacier,-53.15,73.433,,Heard Island
Lucas Glacier,-54.067,-37.3,,South Georgia Group
Lyell Glacier,-54.283,-36.617,,South Georgia Group
Mary Powell Glacier,,,Heard Island
Morris Glacier,-54.083,-37.233,,South Georgia Group
Murray Snowfield,-54.15,-37.15,,South Georgia Group
Nachtigal Glacier,-54.483,-36.15,,South Georgia Group
Neumayer Glacier,-54.25,-36.683,13 km,South Georgia Group
Nordenskjöld Glacier,-54.367,-36.367,"large",South Georgia Group
Novosilski Glacier,-54.067,-36.3,13 km,South Georgia Group
Paget Glacier,-54.4,-36.467,6 km,South Georgia Group
Peters Glacier,-54.133,-37.55,,South Georgia Group
Philippi Glacier,-54.817,-36.05,,South Georgia Group
Posadowsky Glacier,-54.417,32.033,,Bouvet Island
Price Glacier,-54.117,-37.483,,South Georgia Group
Purvis Glacier,-54.1,-37.017,,South Georgia Group
Quensel Glacier,-54.767,-35.083,"small",South Georgia Group
Risting Glacier,-54.767,-36.1,,South Georgia Group
Ross Glacier,-54.55,-36.1,10 km,South Georgia Group
Ryan Glacier,-54.05,-37.6,,South Georgia Group
Salomon Glacier,-54.783,-35.9,,South Georgia Group
Schmidt Glacier,-53.05,73.4,,Heard Island
Schrader Glacier,-54.117,-37.65,,South Georgia Group
Spenceley Glacier,-54.583,-36.317,,South Georgia Group
Stephenson Glacier,-53.1,73.7,,Heard Island
Storey Glacier,-54.783,-36.017,,South Georgia Group
Twitcher Glacier,-54.717,-35.933,6 km,South Georgia Group
Tyrrell Glacier,-54.367,-36.517,,South Georgia Group
Vahsel Glacier,-53.067,73.383,,Heard Island
Webb Glacier,-54.533,-36.017,3.2 km,South Georgia Group
Weddell Glacier,-54.583,-36.0,3.2 km,South Georgia Group
Wheeler Glacier,-54.6,-36.367,3.2 km,South Georgia Group
Winston Glacier,-53.15,73.633,,Heard Island
